rmse,mae,r2,pearson_r,spearman_rho,params,train_time
1.1430764758046092,0.9310815657708521,0.1969318958980404,0.4437917530335208,0.4263507719278504,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 10000, 'random_state': 42}",1052.7
1.1436245170198296,0.9315850911776383,0.1961616588507128,0.4429237968050522,0.4253816575665613,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 10000, 'random_state': 42}",801.9
1.1441712515776477,0.9320899773250563,0.1953928903494636,0.4420592351287745,0.42453949410843733,"{'alpha': 0.001, 'l1_ratio': 0.5, 'max_iter': 10000, 'random_state': 42}",445.6
1.1446606987061663,0.9325196649268868,0.19470436252578927,0.44128601126202943,0.42372886007570737,"{'alpha': 0.001, 'l1_ratio': 0.7, 'max_iter': 10000, 'random_state': 42}",163.0
1.145103205078212,0.9329139657620552,0.19408161496313936,0.440587849996587,0.42295967290472514,"{'alpha': 0.001, 'l1_ratio': 0.9, 'max_iter': 10000, 'random_state': 42}",87.4
1.1448570231755426,0.9327121632526333,0.19442810110272568,0.440979839110174,0.4233617221733832,"{'alpha': 0.005, 'l1_ratio': 0.1, 'max_iter': 10000, 'random_state': 42}",229.0
1.1462788568831883,0.9341074881540891,0.1924259287721194,0.43876464618116323,0.4209031298095373,"{'alpha': 0.005, 'l1_ratio': 0.3, 'max_iter': 10000, 'random_state': 42}",58.4
1.1473583995528935,0.935214440922714,0.19090409804028607,0.43711360468776594,0.41941360282957885,"{'alpha': 0.005, 'l1_ratio': 0.5, 'max_iter': 10000, 'random_state': 42}",39.1
1.1483230459163354,0.9362023350151525,0.18954302460322459,0.4356588103953666,0.4182155987955343,"{'alpha': 0.005, 'l1_ratio': 0.7, 'max_iter': 10000, 'random_state': 42}",40.9
1.1494713882490288,0.9372931270247389,0.1879212729440053,0.4338926483943561,0.4168020081184215,"{'alpha': 0.005, 'l1_ratio': 0.9, 'max_iter': 10000, 'random_state': 42}",33.8
1.145926843642099,0.9337527594361333,0.1929218519324286,0.4393195185544434,0.42148151433623343,"{'alpha': 0.01, 'l1_ratio': 0.1, 'max_iter': 10000, 'random_state': 42}",78.9
1.1480334709708102,0.9358825587203579,0.18995172221572532,0.4361122502570606,0.4185576139319012,"{'alpha': 0.01, 'l1_ratio': 0.3, 'max_iter': 10000, 'random_state': 42}",34.0
1.1502005671957567,0.937962673584829,0.18689064523922894,0.43279289995070974,0.4159154436444161,"{'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 10000, 'random_state': 42}",30.1
1.151796711413911,0.9394448087419202,0.18463236030240027,0.4304293793236779,0.4140368853743196,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 10000, 'random_state': 42}",38.1
1.1534609390387225,0.9409792101964729,0.18227441350725015,0.42793558139448246,0.4120148432901683,"{'alpha': 0.01, 'l1_ratio': 0.9, 'max_iter': 10000, 'random_state': 42}",61.0
1.1514405819022213,0.9390429192933437,0.18513649716101843,0.43103005934864336,0.41447001634940805,"{'alpha': 0.05, 'l1_ratio': 0.1, 'max_iter': 10000, 'random_state': 42}",28.6
