target_id,n_compounds,rmse,mae,r2,pearson_r,spearman_rho
CHEMBL2447,13,0.4038513934846662,0.2819470104275501,0.8073042848474459,0.9092238597105766,0.8956043956043955
CHEMBL4598,23,0.4083919185061098,0.3205949717125583,0.35659720771920955,0.6122667422922012,0.6085169883660926
CHEMBL3407328,11,0.4334656292200372,0.2936629332892089,0.7923476785696575,0.9202041760847939,0.9020524542048464
CHEMBL2331053,43,0.4351090082973183,0.3391963901886546,0.30674851159883587,0.6617023059391617,0.3461788473603433
CHEMBL5073,24,0.4423718378789936,0.3659314931322038,0.8381165987997179,0.9292529603779611,0.8956068702835331
CHEMBL4045,34,0.47210295485228326,0.37296378934539265,0.719739373199383,0.8488581878720123,0.7889950900818478
CHEMBL5026,14,0.4850611664525969,0.3712453445691625,-1.4542117591911912,-0.014075462661730091,0.07717793044376993
CHEMBL6000,12,0.48931013244184074,0.43486994580416316,0.6418752871006296,0.8127118547108351,0.7180396300468049
CHEMBL5358,39,0.5023264927641881,0.41461779997616377,0.28931530523366245,0.5431932942031067,0.47654634222724374
CHEMBL3861,106,0.5478286099590869,0.3841598163227485,0.7151446045988921,0.8489668303210246,0.8415919926154996
CHEMBL5855,34,0.5636328673213876,0.4171485735228104,0.7722899215401331,0.8955299988552506,0.8417513587651738
CHEMBL2897,17,0.56502398827599,0.4951714125345435,-0.249250714550175,0.485410556466079,0.36877863139415434
CHEMBL2468,38,0.570264116229909,0.45157485839740075,0.623462192004202,0.8017545447128135,0.6685280677809184
CHEMBL5699,17,0.5709019071091347,0.45923929461431373,0.7052781204805184,0.8853092267689135,0.8137254901960784
CHEMBL5579,11,0.5821366541138853,0.46600229727246867,-0.3021643360454731,0.37938417324613116,0.350798176635218
CHEMBL5330,52,0.5876373071829036,0.4704795258856442,0.6533795931404331,0.8230885674184034,0.7724073121344828
CHEMBL2964,23,0.5933591213172182,0.4447666347564557,0.7769223730675665,0.890495206714679,0.8889445333681302
CHEMBL3117,16,0.5936950605351066,0.40122991896597643,0.599851423918103,0.7753006272843885,0.7352941176470589
CHEMBL2343,72,0.5956155592459952,0.44644212066228256,0.563816052947786,0.7724800557578758,0.776419894505715
CHEMBL1293257,43,0.5988433526800965,0.446289768456585,0.18818611547920705,0.48314700960892554,0.42750860665271634
CHEMBL3529,62,0.599526753267912,0.4572479931066772,0.6186355816782301,0.8350662891019558,0.8072627462665196
CHEMBL4599,93,0.5999757172847546,0.4502145597100107,0.6918656376120809,0.8490858436569741,0.8115007870608687
CHEMBL5464,387,0.6016317919825435,0.4475257316780565,0.778900324279817,0.882668567545898,0.8651844416372407
CHEMBL1908389,123,0.6091042961069052,0.4638627379764759,0.6029704727663653,0.7895623600150798,0.7974142101412063
CHEMBL5285,134,0.6098393895588965,0.44503077089057247,0.6695698097588704,0.8199662651404198,0.7880669800131707
CHEMBL4578,105,0.6100502524268362,0.442329274581414,0.7050975290449595,0.8409187038327608,0.8163488549407415
CHEMBL6167,29,0.6142478206185099,0.5504161208970085,0.6666229187402348,0.8442648540209579,0.7672587557522799
CHEMBL1163101,68,0.6172649199073956,0.4877557337011854,0.4790430113410554,0.7208420399057595,0.6713433585077769
CHEMBL5024,192,0.6192319303943671,0.4525702927959471,0.39182447250838703,0.6348449958298273,0.6410956502004224
CHEMBL1772932,99,0.6224205246945264,0.48363514866980584,0.4733431148656041,0.6943374929496254,0.6898262339102297
CHEMBL2068,79,0.623075137838585,0.4713797402227468,0.570485133287475,0.7645671571372524,0.6710764166821184
CHEMBL5145,564,0.6258430433037024,0.46684838122755434,0.73372361640823,0.8612580039108796,0.8625411938034401
CHEMBL5819,22,0.6259048895237045,0.4602148521889466,-0.716274156256079,0.25655856540971816,0.22310395196193236
CHEMBL4527,49,0.6272647193205823,0.48202407277401893,0.5825895952597967,0.76344704975547,0.6984564414530039
CHEMBL5627,29,0.6273661119252213,0.47645737572565533,0.7209747162163056,0.8499046837849693,0.8537278268695094
CHEMBL1957,262,0.6348314167417292,0.4650224818173956,0.7268818454375626,0.8534046950126871,0.8112721215157039
CHEMBL1906,272,0.6357648141725402,0.488500772865421,0.8016785157160536,0.9094372952674372,0.9038496670347969
CHEMBL5319,161,0.6424459511809232,0.47305207833943436,0.33147710414117804,0.5853202921882954,0.6058580499182673
CHEMBL4708,41,0.6426945355219708,0.5035050371448374,0.3960415820757889,0.6483608596523569,0.6326578862114388
CHEMBL5701,13,0.6456209764104506,0.5190609384534933,-0.006987885723647169,0.26977212713028476,0.12507270025494255
CHEMBL2815,507,0.6466177457121032,0.46817535423312895,0.6504380205300495,0.8080717702002093,0.8176326956551226
CHEMBL3116,166,0.647497750089219,0.45220474481186745,0.2079343482809589,0.5324609702636117,0.5336900938574227
CHEMBL5334,13,0.6520406369143449,0.5756868797566309,0.5007923813359962,0.7683453595561401,0.5
CHEMBL4376,56,0.6520955760578891,0.551893536602959,0.14887645953546358,0.7046618569748504,0.6640691752964899
CHEMBL2801,48,0.652966074207099,0.5327560568527365,0.4371333322048725,0.6984844121032279,0.4785743420925567
CHEMBL3863,17,0.6534121307453337,0.5036337342390743,0.5736835195681045,0.781767260133688,0.7794117647058825
CHEMBL3587,108,0.6573167866920411,0.48765434339759606,0.5759031617776773,0.7603199037163237,0.7644721895162926
CHEMBL3629,82,0.6578543800123029,0.5313095912179515,0.6974681485129725,0.8379046653713251,0.7699299053920108
CHEMBL3357,58,0.65842871384376,0.4880120738606303,0.3338638615933198,0.6899464352400848,0.4441542656169497
CHEMBL2595,54,0.6636597508803569,0.5494463203170878,0.3247893756879121,0.5953226579717648,0.5620030901354224
CHEMBL2358,18,0.6653430489751091,0.4827956108532327,-0.010253905271574881,0.5332700733586836,0.5665634674922602
CHEMBL4204,182,0.6748228942771567,0.48897804613344525,0.6611196072980662,0.8295603589415773,0.8303263601208786
CHEMBL3829,20,0.6759931653430666,0.542682532705484,0.4741424251892432,0.8126247257196207,0.6744663538375715
CHEMBL3906,28,0.6772409167090065,0.5725145317060962,0.588262369280462,0.775208622523997,0.7723043240284619
CHEMBL5247,12,0.6820391343886868,0.5357242754216597,0.07760706271048134,0.822000521428619,0.6479869832129704
CHEMBL4852,44,0.6822108635714397,0.5132629668742699,0.29160060783487385,0.5610680005552653,0.5249648696103828
CHEMBL3094,10,0.6837525455332417,0.5603160707239953,0.21492336109886712,0.5075106074564261,0.6727272727272726
CHEMBL5518,40,0.6890977085605834,0.5700062846222662,0.40026212203449363,0.6461565893588279,0.6667617056744776
CHEMBL3778,735,0.6924056341348902,0.5021316441484865,0.6439694942217632,0.8036518605194829,0.7951860129604078
CHEMBL6166,134,0.6989422948771365,0.5369209226357775,0.40649083502598105,0.6420255355992476,0.5954052890437701
CHEMBL1075104,346,0.699286441915387,0.5134403413445584,0.5961466490373861,0.7732991518809265,0.7725372484359916
CHEMBL3886,33,0.6997155912430124,0.5505586559457325,0.36678147459946453,0.7089619253636534,0.7094349508427391
