target_id,n_compounds,rmse,mae,r2,pearson_r,spearman_rho
CHEMBL5579,11,0.5119530125810231,0.45779008616694045,-0.007108152764760067,,
CHEMBL5358,39,0.6071560768304821,0.48811136161074625,-0.038258482081710454,,
CHEMBL3935,13,0.674540309448387,0.5401893704150164,-0.03555158272126713,,
CHEMBL5701,13,0.7042041586973277,0.6119148598218911,-0.19802574876799417,,
CHEMBL1795192,11,0.7206952100939313,0.5397614936057997,-0.0001894585230848289,,
CHEMBL4014,15,0.7251273313403664,0.599707381080755,-0.5614454095561678,,
CHEMBL3116,166,0.7294509659147813,0.5731560329502823,-0.005256431563340547,,
CHEMBL5260,22,0.7714194524387661,0.5936999753705239,-0.06289901752168992,,
CHEMBL4223,30,0.7764160988751505,0.6775828119268346,-0.04059619812640425,,
CHEMBL5319,161,0.7922843639759019,0.6205356385931109,-0.01672912151116157,,
CHEMBL6082,12,0.7998866596032292,0.6866946286651195,-0.19630683972628216,,
CHEMBL4576,38,0.8092088725835525,0.6773667411931313,-0.19578820490316895,,
CHEMBL1075165,77,0.8362155098515305,0.6531824939745169,-0.00859807685764169,,
CHEMBL5024,192,0.8523678210780771,0.7043293677632981,-0.15232861619119875,,
CHEMBL4105787,12,0.8575457916915763,0.7040535580166517,-0.5591723461312854,,
CHEMBL6000,12,0.8624999988628738,0.7154893278817296,-0.1127153504360272,,
CHEMBL1163101,68,0.8748098341096507,0.7344351904460173,-0.04637170974779625,,
CHEMBL1772932,99,0.8835043775228922,0.7601604744764161,-0.06115143779286858,,
CHEMBL5432,12,0.8854633974261615,0.7137138846544285,-0.3501335453616128,,
CHEMBL2250,53,0.894589344465174,0.713382913031713,-0.025060006972698723,,
CHEMBL3385,23,0.9032095589603615,0.7195195011289465,-0.14927033032337,,
CHEMBL4224,87,0.9211134545480228,0.7787063971023525,-0.012331535001026905,,
CHEMBL5938,19,0.9219396811022057,0.7579146250010553,-0.023423724540497792,,
CHEMBL5334,13,0.929256072420356,0.7306345055353511,-0.013917675946394592,,
CHEMBL4237,20,0.9307589363418834,0.7340222317504396,-0.6032938282311002,,
CHEMBL2331053,43,0.9446717152718458,0.8262481491925328,-2.267807652243257,,
CHEMBL4525,51,0.944882335567662,0.8002285004192683,-0.40717599782384584,,
CHEMBL5332,21,0.9493013455383374,0.77072490346236,-0.2991058808347855,,
CHEMBL4598,23,0.9560309863565678,0.8091807937503117,-2.525921180546932,,
CHEMBL4674,22,0.9652471857904316,0.8163220351674813,-0.7786083633246759,,
CHEMBL4376,56,0.9762964979471362,0.8310298915952087,-0.9078031328364513,,
CHEMBL4601,27,0.97992802470948,0.8628634601042345,-0.021439603987025047,,
CHEMBL4273,19,0.9865261175632135,0.7852468105149645,-0.004172249384661431,,
CHEMBL4766,69,0.9922723993172391,0.7809653566816325,-0.004321130389879357,,
CHEMBL4527,49,0.9979211303374039,0.8306329510919052,-0.05646225500536928,,
CHEMBL5776,28,1.0123057988429254,0.8568243880876175,-0.34498101865363795,,
CHEMBL2447,13,1.0136852231425704,0.8702125329752673,-0.214045930380246,,
CHEMBL2041,437,1.017508931650457,0.7834417259022515,-0.06790666796880629,,
CHEMBL1908389,123,1.021937675082762,0.8141474220455953,-0.11760491194775846,,
CHEMBL2708,17,1.021942890646209,0.9478322772314625,-0.06735193323589073,,
CHEMBL3587,108,1.022048837402525,0.8247084820324317,-0.025318715348457976,,
CHEMBL4355,32,1.0289375115251178,0.8857764050326515,-0.07922468620461642,,
CHEMBL2431,124,1.0341735846303468,0.8344136067024075,-0.0007587214723971947,,
CHEMBL1936,322,1.0345447901683562,0.867229835193386,-0.08289660984086544,,
CHEMBL3045,84,1.0364875810176883,0.8499422138691701,-0.03713032892851453,,
CHEMBL1075163,27,1.037221171782498,0.8226301025959459,-0.0886429803279869,,
CHEMBL4575,66,1.0392143791477064,0.9355234286007216,-1.5015361681307113,,
CHEMBL5784,10,1.0549469495462562,0.8989591692425349,-0.23784251852514138,,
CHEMBL3559692,14,1.0552802048248924,0.8418357073211925,-0.22975380824256053,,
CHEMBL2689,29,1.0563708842166235,0.9210133826491441,-0.18671205731029206,,
CHEMBL5543,101,1.0589981333611573,0.8400640834305131,-0.06433867523230452,,
CHEMBL2872,11,1.059226307313277,0.9101620957739116,-0.03175377055524575,,
CHEMBL3905,73,1.0607871979321761,0.889489230069492,-0.2487652670393472,,
CHEMBL2426,13,1.0626889470103904,0.973490631298908,-0.7796739807347937,,
CHEMBL5026,14,1.0626895447999007,1.0165822417046724,-10.779635025959502,,
CHEMBL3861,106,1.0643418057900063,0.8980918536396334,-0.07521984937569859,,
CHEMBL2939,22,1.0719045748931388,0.923920890947466,-0.5892145836775642,,
CHEMBL5443,52,1.0755748161148955,0.8516528277312794,-0.10086895269711404,,
CHEMBL6006,19,1.075953338802091,0.9125110108349112,-0.585995186143212,,
CHEMBL3863,17,1.0780337723619389,0.878304285982575,-0.1604394081738325,,
CHEMBL1844,248,1.0781557910031359,0.889297253258626,-0.16697530004106675,,
CHEMBL3094,10,1.0791897925450544,0.8619640074685352,-0.9557340633554772,,
CHEMBL3717,470,1.0822867758292558,0.8754282700851914,-0.02038461766550781,,
CHEMBL5147,93,1.084286806661266,0.894759254438957,-0.49006513479281,,
CHEMBL1075167,26,1.0867716447187783,0.8991880983654625,-0.47444279292937486,,
CHEMBL2996,82,1.087750190695762,0.902476217612919,-0.11843461219423346,,
CHEMBL3906,28,1.0888192056934587,0.8746441045189839,-0.0642550726977793,,
CHEMBL2959,156,1.0890724580157713,0.910042361734666,-0.040321163371403346,,
CHEMBL5331,209,1.0899438694521042,0.8599745424020847,-0.010064874905259424,,
CHEMBL308,168,1.095719950721035,0.9062560108004489,-0.271038148208397,,
CHEMBL4225,128,1.0963456187582412,0.9279038852063252,-0.1268185677857927,,
CHEMBL2007,68,1.0982990693044055,0.9175865016412408,-0.008438923928468345,,
