target_id,n_compounds,rmse,mae,r2,pearson_r,spearman_rho
CHEMBL4598,32,0.4067120980975971,0.26596279794042194,0.2572840002227549,0.5585709286743648,0.41838359428372895
CHEMBL3861,83,0.49237285274319154,0.3900224900361757,0.7125685399258592,0.8842072910247204,0.8918568593234892
CHEMBL1075165,125,0.5364729186706461,0.3888065787586677,0.03375726100738652,0.4525590910668721,0.3611353378854481
CHEMBL3988,14,0.536528035050886,0.4325200737446209,-0.1297056136869852,0.234312275723133,0.22050837269648552
CHEMBL2708,25,0.5433639377237285,0.4790261063413964,-1.7373797348413014,-0.03996032434401273,0.027783119144576072
CHEMBL5261,28,0.5682981171679053,0.4907891915020683,-1.2017634433186406,0.12810850344116614,0.07987006929027522
CHEMBL2835,864,0.6242132160119761,0.4520623046281286,0.7221088313951285,0.8572121011738949,0.8640918068891557
CHEMBL5358,72,0.6295933013990762,0.5328943579480422,-0.09410860048273695,0.10167020223025769,0.022158030089149093
CHEMBL5754,11,0.6603089944606817,0.571014906500471,-2.6706875078537577,0.6719182423411776,0.5688312786486196
CHEMBL2068,34,0.6606909087716705,0.531077539139225,0.595231367480666,0.8341255129617258,0.7483525006121484
CHEMBL4203,12,0.6655914441928091,0.5178042513869724,-0.10317768477417211,0.6732829009886134,0.4877223005466402
CHEMBL5330,17,0.6711236168304826,0.5432854862234322,-0.0381597763068624,0.4136180752067151,0.42918463002515084
CHEMBL5024,346,0.6734148207325411,0.4870827411112652,0.2761771002923332,0.6080812187674282,0.5323813409032266
CHEMBL1908383,18,0.6865864600868776,0.5744481572471763,0.13680906008692428,0.4021612452741253,0.3130166959527074
CHEMBL1075102,24,0.6879790464447133,0.6046761103831053,0.037369461294721074,0.3508317632397609,0.12266203857210119
CHEMBL1908389,302,0.6892223511665878,0.5446222666912366,0.3351564243104308,0.6093467788067536,0.6405437451814907
CHEMBL4599,77,0.6892279081056834,0.5857317834699345,0.638914586316216,0.8928447014335491,0.8543428967450061
CHEMBL5416,10,0.6905927031678626,0.576982518335296,-0.3842402632653794,0.29657555181311174,0.22154790046665224
CHEMBL2508,56,0.6930253465422831,0.5411709340419923,0.2527844494377054,0.5096190155946347,0.4546512691446705
CHEMBL5332,19,0.6941966210874841,0.5918472067088071,0.06009358325933112,0.3885446365485794,0.13708281275835973
CHEMBL5285,247,0.6958436273111381,0.5331020911886095,0.5212584438743268,0.7527417810475427,0.770272052503859
CHEMBL5319,193,0.6976871888026686,0.5514781799594153,0.23442577891998317,0.5383679385101449,0.5184553640801838
CHEMBL4937,142,0.6985611675669297,0.5603621642331268,0.40514485809155787,0.6915208308234189,0.6901389789561821
CHEMBL3045,60,0.7015310982294933,0.49018604562965645,0.4297750124168297,0.7009314228261424,0.765278761934953
CHEMBL5073,34,0.7113741378511179,0.5321191450941856,0.2782328585039061,0.7196519806670596,0.7399144340669017
CHEMBL2041,476,0.7128561574717723,0.5431539264190971,0.5046333844738478,0.7616200668779891,0.7555050907026595
CHEMBL4224,21,0.7168161977591309,0.6373634049564235,0.3076447342108616,0.565995757880897,0.5363636363636364
CHEMBL2828,116,0.7208272483472801,0.5904517219622605,0.7728146018884604,0.919740947755586,0.9038232003450011
CHEMBL4766,121,0.7305561935935581,0.5844448233146007,0.4035344980278578,0.6966042163556067,0.7084278904672733
CHEMBL4204,130,0.7315600225885487,0.5756271451586787,0.6015942985463464,0.8425019030551492,0.8224481982279837
CHEMBL3268,31,0.735274361465137,0.5317541897118762,0.4348521141843743,0.6976228598567511,0.6744523054902013
CHEMBL1868,82,0.7381082416715297,0.5840016689096282,0.5402958366724276,0.7826591159149604,0.7264871218701286
CHEMBL1981,58,0.74114487469187,0.5994379714584717,0.2921400829025642,0.584411986659507,0.391463591437383
CHEMBL1906,187,0.7414934769967849,0.589675157986979,0.6151228734070622,0.8041642012583197,0.7877510582519529
CHEMBL2358,48,0.747366133757044,0.5915938381723872,-0.5709682817046218,0.3667695627729121,0.23111159357359964
CHEMBL4367,27,0.7504137516100338,0.6344441789419124,0.35908462643355976,0.6467980081506092,0.685717805859566
CHEMBL1957,370,0.7576907300364292,0.6041280627894016,0.6076155206828023,0.8149372684416485,0.724426707357777
CHEMBL5014,88,0.7593523658666217,0.6290876841072681,0.318811441079621,0.6234264477714465,0.6903573038321618
CHEMBL3438,17,0.7608803683008456,0.6724470981233,-0.13624318439133032,0.6999094805768038,0.6004901960784315
CHEMBL5776,36,0.7636234604716944,0.6146494716364265,0.33936871485803255,0.6445912886896432,0.6017767527667479
CHEMBL1075126,10,0.7648429587340747,0.6772916371248117,-0.08834323689486778,0.0482225550973315,0.07294866524160776
CHEMBL2801,25,0.7680813342278382,0.6344243318706255,0.45248764052069146,0.7176503587387217,0.7747643920967312
CHEMBL3629,107,0.7680890196182484,0.6015053226900935,0.5050616264840588,0.7269588308103897,0.6440231303418049
CHEMBL3778,1059,0.7688097820398823,0.5947783386551155,0.48547931568403646,0.7133744192904171,0.726535562865452
CHEMBL3906,39,0.770450480084409,0.5963661828510405,0.41913872364545257,0.7392407806373328,0.7687012894934533
CHEMBL5407,70,0.7742877879060851,0.5924512988941724,0.5456146145430112,0.7480795548495383,0.738012545417637
CHEMBL5147,46,0.776205076166604,0.6457990600217889,0.4169706322511241,0.7426641497100472,0.7109235330176567
CHEMBL3116,262,0.7785143474710703,0.5745469243326897,-0.06149656209226029,0.12119485386406804,0.1803277650845972
CHEMBL4578,72,0.7791242381144937,0.5527615920578904,0.3833121276344943,0.6274656736038049,0.6581979308980079
CHEMBL3529,33,0.7794135372415024,0.6669075971611849,0.13321755691486914,0.8003715833108862,0.7928469986735514
CHEMBL1075104,524,0.7856465608097664,0.6143972353034253,0.4724700489545425,0.7390931258131862,0.7496553470640203
CHEMBL2345,30,0.7872527412284684,0.6586707684318116,0.6144207754721875,0.8720933170804053,0.8804093947014671
CHEMBL1770034,21,0.7900733148719977,0.6996503893597753,0.22993599415705257,0.7381039635797473,0.8145740175590908
CHEMBL3961,20,0.7914533197533281,0.7141381297865508,-0.013176323253789812,0.6451498892536969,0.7969924812030074
