model,split,train_time_seconds,best_epoch,n_train,n_val,n_test,test_rmse,test_mae,test_r2,test_pearson_r,test_spearman_rho,test_auroc,test_auprc,test_precision_at_100,test_precision_at_500,test_ef_1pct,test_ef_5pct
esm_fp_mlp,random,228.9,50,282299,35287,35288,0.7753475829494287,0.5821501483954531,0.6293976903848748,0.7935155834528652,0.7762582112530223,0.8729223638232991,0.9553587711026985,1.0,0.998,1.2931443166366543,1.2924175072255943
esm_fp_mlp,scaffold,156.0,28,282301,35288,35285,0.8972182286770355,0.6843736568557417,0.5024080446105499,0.7108674124508194,0.6947102756944834,0.8369580408283801,0.9475256513790067,1.0,0.998,1.2576184196457212,1.2533408059734568
esm_fp_mlp,target,44.0,2,251532,65811,35531,1.1767250295773355,0.9237250409485007,0.10718125506879106,0.3719532443347204,0.3608956488964886,0.6514778875639838,0.7960392224460519,0.94,0.928,1.3070958834590423,1.1300800151106971
gnn,random,1410.9,88,282299,35287,35288,0.828703756241056,0.6402263769863469,0.5766360626501745,0.7601679977911506,0.7456064562679815,0.8590557222953394,0.9510985569173185,1.0,1.0,1.296828488478924,1.2924175072255943
gnn,scaffold,1031.9,59,282301,35288,35285,0.9409209646534344,0.7297092130168294,0.4527529063778526,0.6756850735495104,0.6565873365976291,0.819845281856551,0.9417172790557597,1.0,0.998,1.2576184196457212,1.2462114498530161
gnn,target,341.6,10,251532,65811,35531,1.1458278793414076,0.9160204251508843,0.15345102693076484,0.44106607555810906,0.38856804004440576,0.6575448705016509,0.8210340111777643,0.98,0.988,1.3779625277429663,1.3449211321895413
fusion,random,1551.4,98,282299,35287,35288,0.7927055227629737,0.6026920833451979,0.6126183767459302,0.7836720605255407,0.7665601741961068,0.8682340310496914,0.9543197430118371,1.0,0.998,1.296828488478924,1.2924175072255943
fusion,scaffold,1178.4,61,282301,35288,35285,0.94447231423927,0.7257342314980296,0.4486141243623085,0.6765254568727563,0.6573292738920382,0.8206711882023549,0.9419237095933429,1.0,1.0,1.2576184196457212,1.2490631923011926
fusion,target,683.0,30,251532,65811,35531,1.137766860855575,0.894365742917112,0.16532024935625733,0.46463499391467666,0.4176259300029532,0.6792487610791722,0.8324845648199402,0.99,0.988,1.3818995635365177,1.341773276994247
