target_id,n_compounds,rmse,mae,r2,pearson_r,spearman_rho
CHEMBL4598,32,0.36244596659568445,0.2922638803720474,0.41015873983888074,0.6739416602157542,0.7714888130204913
CHEMBL3988,14,0.4299107508850303,0.3623617036002023,0.2746676138311017,0.5937506336506171,0.5654568878245166
CHEMBL5754,11,0.4754027476012134,0.4175393364646218,-0.9027264882592225,0.4293972617490378,0.14679516868351475
CHEMBL2708,25,0.5218097095471191,0.43199968338012695,-1.5245130672983827,0.18377463479824557,0.22063065203045706
CHEMBL3861,83,0.5319016180657156,0.40910185963274487,0.6645647207406977,0.8263237533670417,0.8171308336058561
CHEMBL3357,38,0.5446959182119373,0.40324243746305766,-0.022666810685995076,0.5018574896427582,0.5120064643178135
CHEMBL5073,34,0.5519520852471673,0.4144159204819623,0.5654860541169794,0.7716708037703396,0.7174511086212523
CHEMBL1293257,47,0.604944730789783,0.4594582699714823,-0.1381107370298078,0.46677135845665085,0.38927767517300355
CHEMBL1075165,125,0.6126840817534343,0.4865765762329102,-0.2602708069809814,0.509551350789929,0.24104171350164386
CHEMBL1908383,18,0.6289949829584494,0.5344725184970431,0.2755460641730585,0.5459984657973143,0.3750002001017584
CHEMBL5416,10,0.6350905724770629,0.4797806262969971,-0.17068175825291454,0.09947608687395974,0.1437315589404885
CHEMBL2160,11,0.6400115113471261,0.5496948849071156,-1.6609794603069323,0.4294108250818219,0.009090909090909092
CHEMBL2358,48,0.671192296831559,0.5090184112389883,-0.2670523350589813,0.2331605721174261,0.2681285280069475
CHEMBL2835,864,0.6779797178546614,0.5186019655730989,0.6721748670519966,0.8318715255706048,0.8314333956828902
CHEMBL2068,34,0.6825230531190553,0.5856170654296875,0.5680387288818579,0.7805084707900065,0.6715879605359071
CHEMBL1770034,21,0.6962070952908428,0.5313894862220401,0.4020444939110782,0.7549484665861543,0.7433399879798547
CHEMBL4203,12,0.6990244727228525,0.6091152826944987,-0.21678765984683257,0.3156894550377362,0.2561419276252139
CHEMBL1908389,302,0.7112132657197784,0.5556294791745824,0.2920534165373051,0.5677293808417299,0.5912264952464361
CHEMBL4367,27,0.7268863257179581,0.6389197773403592,0.3986433533988305,0.706122468780267,0.7093632474409304
CHEMBL2828,116,0.732168682244408,0.5904269999471204,0.7656093269108529,0.8893366343998949,0.8820746674480129
CHEMBL5855,15,0.7352456017236116,0.5854279200236002,0.4025646608055682,0.6475084741653756,0.5357142857142856
CHEMBL3268,31,0.741739167413038,0.558479816682877,0.42487040712193014,0.7170050339478969,0.6933796637778689
CHEMBL2041,476,0.7451251056027566,0.5759264861836153,0.45877066778087716,0.6778637260371759,0.6444456999023151
CHEMBL5319,193,0.7458585921578623,0.5807435549602608,0.1250589242204999,0.4146597270201188,0.4487027647872047
CHEMBL6166,74,0.7516278163463461,0.5516296012981518,0.19298359745642035,0.4787646482124179,0.4774183044409187
CHEMBL4599,77,0.7537045252522006,0.6529866503430651,0.5681961538864181,0.78817254201754,0.7690062903848223
CHEMBL5024,346,0.7541590905666661,0.5722852662808633,0.09219437110710338,0.44704328449990244,0.43810354398784995
CHEMBL5330,17,0.7548597439175381,0.6540843178244198,-0.31338405653800705,0.3118971253440744,0.39239737602299507
CHEMBL4578,72,0.7564132187797761,0.5745654768413968,0.4187403421732885,0.6556245931995226,0.6327756327828014
CHEMBL5358,72,0.7565459504322393,0.6147325038909912,-0.5798317891569669,0.1728449630748669,0.14467020367836764
CHEMBL1957,370,0.7671712904082985,0.5884235162992735,0.5977347221416911,0.7742352218515737,0.6741459098162735
CHEMBL4937,142,0.770629338043844,0.6137815864992814,0.2760752309991955,0.6426555729552617,0.6763177172569205
CHEMBL4204,130,0.7762454542284667,0.5964498519897461,0.5514366605447896,0.7555407047800872,0.7498133916698404
CHEMBL5147,46,0.7843909092181012,0.6552190573319144,0.404608577830067,0.6557317628305392,0.598089394405995
CHEMBL1868,82,0.7852933548808895,0.5962277098399836,0.4796420517190424,0.7095393230171072,0.6605645376429022
CHEMBL5285,247,0.7858303501031841,0.6073580463888192,0.3894300292688858,0.6468336026354894,0.6700287089646371
CHEMBL5699,15,0.7890303426802945,0.6817787170410157,0.42853295287161597,0.7757836388675169,0.825
CHEMBL3045,60,0.795338214474636,0.6014819780985514,0.26708085724254427,0.530873235636485,0.39433723728780967
CHEMBL5261,28,0.7955893092373706,0.6470120293753487,-3.315152013866717,0.11348938949129408,0.11768733694665554
CHEMBL1981,58,0.7975528938365254,0.6558598074419745,0.18029027515064122,0.6561349105654808,0.6214919182980416
CHEMBL3835,19,0.80059583138175,0.7193083010221782,0.32102316715173096,0.7319204722914452,0.5789473684210525
CHEMBL1906,187,0.8013113559929587,0.6030782633286746,0.5505203363454212,0.7430693036792833,0.7534042458214205
CHEMBL5464,493,0.8013529526426426,0.6211997819478807,0.5048855702499537,0.755945941536683,0.7289709362835565
CHEMBL1075102,24,0.8022135324471183,0.6644163727760315,-0.30884810515837446,0.6451511616416028,0.5002175331841006
CHEMBL3961,20,0.8070882151086244,0.7024310111999512,-0.05360160257668456,0.7161530683433945,0.7368421052631579
CHEMBL4899,32,0.8077039334710734,0.6845246255397797,0.10745898857961012,0.4129265435329983,0.3600366696609737
CHEMBL3116,262,0.8088279503454359,0.6228386591408999,-0.1457706036374362,0.24180733210642616,0.21609536805584176
CHEMBL1075104,524,0.8158579146588629,0.6140044008502523,0.43111857181618396,0.6748350833588237,0.6815278617042326
CHEMBL1795194,32,0.8204461367108857,0.6874081641435623,-0.5456238261428443,0.3434865204201331,0.20831441228108705
CHEMBL5776,36,0.8229222269757903,0.6962744659847684,0.23278311763249226,0.5066818279092792,0.5029932504474602
CHEMBL3980,11,0.8234235623464358,0.6814786737615411,0.0316585053640841,0.4743740166966111,0.43636363636363645
CHEMBL3778,1059,0.8280959807146662,0.6219503859284917,0.4030658819049333,0.6470981505076736,0.6691650296291937
CHEMBL4766,121,0.8286671326069421,0.6781844265204816,0.23257079856790108,0.5270351864794086,0.5148198474801018
CHEMBL1075126,10,0.8322730037199797,0.6632148742675781,-0.2887033079588577,0.07837332057936976,-0.048632443494405174
CHEMBL1936,378,0.8343155184436127,0.639157359562223,0.3022004226964595,0.5725970565852417,0.591114694254163
CHEMBL5408,265,0.8349885947342085,0.6460346383868524,0.545428856813115,0.7408593706460675,0.7404033437639737
CHEMBL3553,397,0.8360074101112325,0.6527029320935458,0.36447378114433027,0.7178594500750043,0.680240707416851
CHEMBL4482,40,0.8375375882606245,0.7047098994255065,0.48472780187275777,0.7152223392403031,0.7508209058279431
CHEMBL1163101,85,0.8381732478689616,0.6772493530722226,0.28867629632935743,0.5561856323918224,0.4931812110775108
CHEMBL2599,839,0.8398712959934267,0.6482374318592312,0.38782346211009944,0.629004212286409,0.6219216553351541
CHEMBL5888,288,0.8433706519967971,0.6485290908151202,0.4409946836523888,0.6664762128445418,0.5672399084781984
CHEMBL6144,21,0.8444158015634187,0.6238433974129813,-2.181661987222537,0.2944238864702503,0.13506493506493505
CHEMBL2276,155,0.8458493453486567,0.669810261264924,0.3482655219359311,0.6262279998904982,0.6211427097393566
CHEMBL4523434,20,0.8526654680914172,0.675995135307312,-0.24361288574364348,0.04310556694529602,0.09758865642931866
CHEMBL4523418,20,0.8557476001993908,0.7498528003692627,0.5520537439253972,0.787412757941452,0.6796992481203006
CHEMBL3836,32,0.8560977223396692,0.6832188665866852,-0.17967832042251097,0.4714821158243503,0.4954616822064154
CHEMBL1862,245,0.8563881399444133,0.6565840409726512,0.6554788546328829,0.8107164102127125,0.8054060374598284
CHEMBL3117,92,0.8580375156018025,0.7140151936074962,0.004522067745029945,0.5563042906737838,0.5578803785047269
CHEMBL2598,95,0.8618112371230231,0.7174398899078369,0.02071066283196621,0.29938816323769574,0.3300688067284201
CHEMBL3589,122,0.8638845646950453,0.7068115492336086,0.48767106264823734,0.7027486930694978,0.6959421172229884
CHEMBL3130,893,0.870127912128067,0.6822043928293738,0.3734192933634276,0.6575650680357049,0.6647793918568411
CHEMBL4525,14,0.8721392082410959,0.7425263609204974,0.1608126848422159,0.4168564725742932,0.26740478413337126
CHEMBL2695,196,0.874040956499018,0.7077973716113032,0.5519152160966829,0.754576551729408,0.7391702992630635
CHEMBL4849,11,0.8744401866204415,0.7336652495644309,-1.4830244923663507,0.6940779721818179,0.32329230364061573
CHEMBL4375,14,0.8750835701275318,0.6796788828713554,-0.3020749842637356,0.31497980477518134,0.01978021978021978
CHEMBL1772932,158,0.8772714164265011,0.6678994305526154,0.08560874863196055,0.4542632109930787,0.5266627216768689
CHEMBL5145,687,0.8807478423551942,0.6746845981092606,0.5076309274801306,0.7168104475160774,0.7261960722525687
CHEMBL5407,70,0.8840635773680908,0.7127151421138218,0.40763890872012676,0.6907423295609048,0.6623041460809345
CHEMBL2148,449,0.8846270095143021,0.7060874894360922,0.5517615920334585,0.7435709780998565,0.7141314732818748
CHEMBL4079,67,0.8883369834262965,0.6765366810471264,0.18297016983694592,0.5216218934066615,0.47766436292563147
CHEMBL2345,30,0.8898186391744459,0.7038701216379801,0.5074069639725476,0.7128015412203852,0.7646273637374861
CHEMBL5491,158,0.8935611029715166,0.6924812522115587,0.3106841882589265,0.6248818587495923,0.584972324316371
CHEMBL2886,10,0.8951851315072241,0.6635624408721924,0.06552981341713326,0.34057085562903283,0.3586642707712381
CHEMBL4225,28,0.8952530437576586,0.6926293202808925,0.3462653611709008,0.6426060184051281,0.42184507466179594
CHEMBL3886,13,0.8959731425544879,0.6601770841158353,0.4135001698542363,0.6520314556075935,0.4704268549380237
CHEMBL2208,157,0.8985359589250108,0.7270377669364784,0.36269918098253917,0.6231865422741455,0.5790495843675441
CHEMBL1844,290,0.8988686234072212,0.7207859647685084,0.23519188833561444,0.5186037871354056,0.5153892324706842
CHEMBL2508,56,0.9008749170089202,0.7185336436544146,-0.26263161626990117,0.14798217056581436,0.11819428209447733
CHEMBL5014,88,0.9035643421403342,0.7548196315765381,0.035507601736673444,0.41550780930468995,0.43231247291461644
CHEMBL5543,35,0.9043718682126591,0.6889692578996931,0.32847601741414423,0.6112538028331073,0.5835253322466565
CHEMBL2973,725,0.9052322175071672,0.7055342937337941,0.4009088200309726,0.643642878111985,0.6252234137566564
CHEMBL5331,298,0.9060665894148668,0.6970850749303831,0.165334366463339,0.4657864764953345,0.4542548461536052
CHEMBL2801,25,0.9067772403243566,0.6670435142517089,0.23690126540131107,0.5461973677381683,0.5889594261668797
CHEMBL260,675,0.9084182399166485,0.7007478276005498,0.3964171081608765,0.6342071155485789,0.6193600878927858
CHEMBL4224,21,0.909921373707632,0.725174313499814,-0.11563235100151159,0.38586219951075873,0.39090909090909093
CHEMBL4718,139,0.9132104933432399,0.7109788510439207,0.40698697192148403,0.6489083366442793,0.6156082281755264
CHEMBL2971,988,0.914391509978205,0.6807022726970163,0.558406326435318,0.7498026088760865,0.7451050367623355
CHEMBL3629,107,0.9201044153914757,0.7248302196787897,0.28976471878698085,0.5743357997144494,0.46156370715674677
CHEMBL2147,458,0.9207951426029936,0.7282390219675922,0.6356072915486155,0.8056386012706455,0.8062346470907087
CHEMBL3529,33,0.9270823986182879,0.6961849530537924,-0.22633992917395163,0.38780621245185654,0.37653547386414654
CHEMBL2527,58,0.9276071313402843,0.7195641665623106,0.18963232535322228,0.462288564780935,0.402737830160354
CHEMBL1795199,50,0.9332089330369359,0.8093393325805665,0.18885427992082449,0.5037807299035464,0.43696099011022915
CHEMBL2842,499,0.9332606978249314,0.7324908396046242,0.2730445435487069,0.5488183395403677,0.537292776349978
CHEMBL5749,498,0.9349385702525529,0.7260379954035502,0.6895599661584472,0.8312398597803815,0.8305430101261528
CHEMBL4580,13,0.935357577946557,0.7825110875643216,0.10538554204562911,0.37789823448420573,0.27862307502345723
CHEMBL5026,25,0.9364289971504486,0.7788301277160644,-0.6131726290785999,-0.18573237955545682,-0.21166060867300066
CHEMBL3905,14,0.9366723031427562,0.8331619330814907,0.266632667237243,0.5498144047342646,0.6563338942749953
CHEMBL5251,1411,0.936743681378973,0.7521762337606904,0.34180756627740405,0.5928549281581139,0.5700745858673253
